sku,name,brand,color,size,mrp,price,quantity
SAREE-034,Banarasi Saree,TraditionWear,Green,Free,0,6499,4
SAREE-035,Printed Saree,Ethniq,Yellow,Free,3499,2799,10
SHIRT-036,Formal White Shirt,ButtonUp,White,M,1899,1499,25
SHIRT-037,Checked Casual Shirt,ButtonUp,Multi,L,1799,1399,20
SHIRT-038,Denim Shirt,DenimWorks,Blue,XL,2199,1799,15
SHIRT-039,Linen Shirt,ButtonUp,Beige,M,2499,0,12
SHIRT-040,Oxford Shirt,ButtonUp,Blue,L,1999,1599,18
HOODIE-041,Zip-Up Hoodie,SnugWear,Black,M,2199,1799,16
HOODIE-042,Pullover Hoodie,SnugWear,Grey,L,1999,1599,20
HOODIE-043,Graphic Hoodie,UrbanEdge,Navy,XL,2399,1899,14
HOODIE-044,,SnugWear,Maroon,M,2299,1799,12
HOODIE-045,Tech Hoodie,FitZone,Black,L,2999,2399,8
JACKET-046,Denim Jacket,DenimWorks,Blue,M,3499,2799,10
JACKET-047,Bomber Jacket,UrbanEdge,Black,L,3999,3199,8
JACKET-048,Leather Jacket,RockStyle,Brown,XL,7999,6499,5
JACKET-049,Windbreaker,FitZone,Navy,M,1999,2499,15
JACKET-050,Puffer Jacket,WinterWear,Black,L,4499,3599,12
SHORTS-051,Cargo Shorts,UrbanEdge,Khaki,M,1299,999,25
SHORTS-052,Denim Shorts,DenimWorks,Blue,32,1499,1199,20
SHORTS-053,Athletic Shorts,FitZone,Black,L,999,799,-15
SHORTS-054,Bermuda Shorts,StyleCraft,Beige,M,1399,1099,18
SHORTS-055,Chino Shorts,ButtonUp,Navy,L,1599,1299,22
SKIRT-056,Pleated Skirt,BloomWear,Black,M,1799,1399,15
SKIRT-057,Mini Skirt,StyleCraft,Red,S,1299,999,20
SKIRT-058,Maxi Skirt,BloomWear,Blue,L,1999,1599,12
SKIRT-059,A-Line Skirt,,Grey,M,1699,1349,18
SKIRT-060,Denim Skirt,DenimWorks,Black,M,1899,1499,16
TROUSER-061,Formal Trousers,ButtonUp,Black,32,2199,1799,20
TROUSER-062,Chino Trousers,StyleCraft,Beige,34,1999,1599,25
TROUSER-063,Slim Fit Trousers,ButtonUp,Navy,32,2399,1899,18
TROUSER-064,Pleated Trousers,StyleCraft,Grey,36,1799,2299,15
TROUSER-065,Cargo Trousers,UrbanEdge,Olive,34,2499,1999,12
LEGGING-066,Yoga Leggings,FitZone,Black,M,1299,999,30
LEGGING-067,Printed Leggings,FitZone,Multi,L,1499,1199,25
LEGGING-068,High-Waist Leggings,FitZone,Navy,S,1399,1099,28
LEGGING-069,Capri Leggings,FitZone,Grey,M,1199,899,-20
LEGGING-070,Compression Leggings,FitZone,Black,L,1799,1399,20
SWEATER-071,Wool Sweater,WinterWear,Maroon,M,2999,2399,15
SWEATER-072,Cable Knit Sweater,WinterWear,Cream,L,3299,2699,12
SWEATER-073,Cardigan Sweater,SnugWear,Grey,XL,2799,2199,18
SWEATER-074,V-Neck Sweater,,Navy,M,2699,2099,16
SWEATER-075,Turtleneck Sweater,WinterWear,Black,L,3199,2599,10
BAG-076,Tote Bag,CarryCo,Beige,OneSize,899,699,35
BAG-077,Backpack,CarryCo,Black,OneSize,1999,1599,25
BAG-078,Messenger Bag,CarryCo,Brown,OneSize,1399,1799,20
BAG-079,Clutch Bag,ElegantWear,Gold,OneSize,1499,1199,15
BAG-080,Duffle Bag,FitZone,Navy,OneSize,2499,1999,18
BELT-081,Leather Belt,CarryCo,Black,38,1199,899,40
BELT-082,Canvas Belt,UrbanEdge,Khaki,40,599,449,50
BELT-083,Formal Belt,ButtonUp,Brown,36,999,749,35
BELT-084,Reversible Belt,CarryCo,Black/Brown,38,1399,1099,28
BELT-085,Braided Belt,StyleCraft,Tan,40,799,599,32
SCARF-086,Silk Scarf,ElegantWear,Red,Free,1299,999,20
SCARF-087,Wool Scarf,WinterWear,Grey,Free,1499,1199,25
SCARF-088,Pashmina Shawl,Ethniq,Cream,Free,2999,2399,12
SCARF-089,,BloomWear,Blue,Free,899,699,30
SCARF-090,Printed Scarf,StyleCraft,Multi,Free,1099,849,22
CAP-091,Baseball Cap,UrbanEdge,Black,OneSize,599,449,45
CAP-092,Snapback Cap,FitZone,Navy,OneSize,699,549,40
CAP-093,Beanie Hat,WinterWear,Grey,OneSize,499,399,50
CAP-094,Bucket Hat,StyleCraft,Khaki,OneSize,799,599,35
CAP-095,Fedora Hat,ElegantWear,Brown,OneSize,1299,999,15
SOCKS-096,Cotton Socks Pack,BasicWear,Multi,Free,299,249,100
SOCKS-097,Ankle Socks,FitZone,White,Free,199,149,120
SOCKS-098,Wool Socks,WinterWear,Grey,Free,399,299,80
SOCKS-099,Compression Socks,FitZone,Black,Free,599,449,60
SOCKS-100,Printed Socks,StyleCraft,Multi,Free,349,249,90
